Category,Procuct,Country,Date,Month,Year,Verified,Helpful,Title,Body,Rating,,,
Vitamin C,B005CD3J4O, Italy ,December 1,December,2019,yes,yes,Ottimo prodotto,"un altro ottimo prodotto del famoso brand americano Doctor's Best. Non mi ammalo da oramai diversi anni (nemmeno un semplice raffreddore d'inverno) e sicuramente tra i diversi fattori c'è anche l'utilizzo di 1g di vit C quasi ogni giorno.Si può tranquillamente prendere 1g di vit C ogni giorno tutto l'anno. Consiglio dosaggi molto più elevati se si pensa di ammalarsi o quando lo si è ! (anche 10g, finchè non ti esce dal posteriore hahah)",5,,,
Vitamin C,B005CD3J4O,United States ,April 10,April,2015,yes,-,Parkinsons Perk,"used as a recommended supplement for Parkinsons sufferer. Really who knows if it helps , but no harm in taking it !",4,,,
Vitamin C,B005CD3J4O,United States ,January 8,January,2018,yes,-,Five Stars,very easy to take getting ready to order again.,5,,,
Vitamin C,B005CD3J4O, India ,October 2,October,2018,yes,-,very good,very good,4,,,
Vitamin C,B005CD3J4O,United States ,September 14,September,2015,yes,-,very good. good price I hope they are keeping me ...,very good. good price I hope they are keeping me healthy. Haven't had a cold since using more VitC. Have year round severe allergies so I really watch my immune system.,4,,,
Vitamin C,B005CD3J4O,United States ,July 6,July,2018,yes,-,Five Stars,very satisfied  fast shipping,5,,,
Vitamin C,B005CD3J4O,United States ,December 5,December,2015,yes,-,Five Stars,works great,5,,,
Vitamin C,B005CD3J4O,United States ,July 1,July,2017,yes,-,Four Stars,works well.,4,,,
Vitamin C,B005CD3J4O,United States ,February 19,February,2019,yes,-,??,??,5,,,
Vitamin C,B0013P1GD6,United States ,May 9,May,2020,yes,-,PERFECT TIMING!,"""PERFECT""!",5,,,
Vitamin C,B0013P1GD6,United States ,February 24,February,2019,yes,-,Ascorbic acid...not much rose hip,", great service. However contains more ascorbic acid than rose hips. A little deceiving.",4,,,
Vitamin C,B0013P1GD6,United States ,February 8,February,2019,yes,-,Works great against sick coworkers,1 a day keeps me constantly cold-free. I cringe when a coworker coughs and I forgot to take one before leaving the house. So I keep extra at work.,5,,,
Vitamin C,B0013P1GD6,United States ,May 27,May,2014,yes,-,its Vit C!,"1000mg per pill. rather large, but what do you expect with the serving size?I take 3g per day as a supplement.",5,,,
Vitamin C,B0013P1GD6,United States ,March 11,March,2020,yes,-,Easy to swallow,2 a day has been working great!,5,,,
Vitamin C,B0013P1GD6,United States ,January 14,January,2018,yes,-,250 pills sustianedrelease gonna build up my immune system.,250 pills sustianedrelease  gonna build up my immune system.,4,,,
Vitamin C,B0013P1GD6,United States ,March 30,March,2015,yes,-,Five Stars,:),5,,,
Vitamin C,B0013P1GD6,United States ,December 12,December,2019,yes,yes,"Great value, great product","A 90+ year old woman told me many years ago that she credited C1000 with keeping her healthy.  I've been taking it ever since. Now 70, it keeps me well.  I take 2 every day,  more if allergies or upper respiratory problems appear. This brand has a good reputation.",5,,,
Vitamin C,B0013P1GD6,United States ,December 23,December,2016,yes,yes,Wards off stuff-i-ness.,A daily dose is good and this product from NOW fits the bill.,5,,,
Vitamin C,B0013P1GD6,United States ,February 4,February,2017,yes,-,Five Stars,A daily must have.,5,,,
Vitamin C,B0013P1GD6,United States ,March 31,March,2020,yes,-,Like it,A good brand of Vitamin C,5,,,
Vitamin C,B0013P1GD6,United States ,January 21,January,2016,yes,-,Five Stars,A good deal :-),5,,,
Vitamin C,B0013P1GD6, India ,August 16,August,2019,yes,-,A good delivery,A good product,5,,,
Vitamin C,B0013P1GD6,United States ,November 16,November,2014,yes,-,As good as any I think,A good product at a good price,5,,,
Vitamin C,B0013P1GD6,United States ,December 29,December,2018,yes,yes,"Good product, though Ester C is better.","A good product. Bought it as a substitute for Ester C. While it is buffered and does not upset the stomach, the effect doe not last as long as Ester C tablets of the same strength.",3,,,
Vitamin C,B0013P1GD6,United States ,February 17,February,2015,yes,yes,Quality,A good quality which is important for Vitamin C; a good price too.,5,,,
Vitamin C,B0013P1GD6,United States ,June 10,June,2017,yes,yes,"A very large pill, a great bargain","A great bargain. It is a horse pill, but is well worth trying to swallow it. LOL",5,,,
Vitamin C,B0013P1GD6,United States ,March 15,March,2020,yes,-,Clean supplement,A great clean product and prompt shipping.,5,,,
Vitamin C,B0013P1GD6,United States ,June 27,June,2014,yes,-,great product,"A great product and a great value all around, especially at the subscribe and save price.  Would buy again.  Like having lots so i never run out.",5,,,
Vitamin C,B0013P1GD6,United States ,October 30,October,2019,yes,-,Value,A great value for the cost.  It is a large bottle and should last throughout the entire winter,5,,,
Vitamin C,B0013P1GD6,United States ,November 19,November,2013,yes,-,A great way to get your daily Vitamin C.,A great way to get your daily Vitamin C. The larger size is very helpful. Extended Release is the way to go.,5,,,
Vitamin C,B0013P1GD6,United States ,July 15,July,2015,yes,-,Great benefits,A little large but great benefits.,5,,,
Vitamin C,B0013P1GD6,United States ,January 15,January,2020,yes,-,Good product,A little large tablet but not a problem for me.,5,,,
Vitamin C,B0013P1GD6,United States ,January 6,January,2019,yes,-,Vit-C Awesome!,A lot of Great Vit-C for a Great Price.,5,,,
Vitamin C,B0013P1GD6,United States ,March 3,March,2018,yes,-,Five Stars,"A must for cataract and macular degeneration and regular cleanout,  I use four capsules daily.  lisa",5,,,
Vitamin C,B0013P1GD6,United States ,July 15,July,2018,yes,-,A must have!,A must have! Keeps my body clean and assists in so many functions that are vital.  2000-3000mg per day,5,,,
Vitamin C,B0013P1GD6,United States ,February 20,February,2015,yes,-,Five Stars,A satisfied customer,5,,,
Vitamin C,B0013P1GD6,United States ,November 15,November,2014,yes,-,Five Stars,A very good brand for a good price,5,,,
Vitamin C,B0013P1GD6,United States ,March 26,March,2018,yes,-,Five Stars,A+,5,,,
Vitamin C,B0013P1GD6,United States ,August 24,August,2016,yes,-,Five Stars,AWESOME,5,,,
Vitamin C,B0013P1GD6, India ,October 17,October,2018,yes,-,Must buy,Affordable price for the given dosage.,5,,,
Vitamin C,B0013P1GD6,United States ,August 10,August,2013,yes,-,All family members have this,"After having this vitamin, the body conditions are good.  Surprising enough, my 88 year old mother has been fit every day now.",5,,,
Vitamin C,B0013P1GD6,United States ,January 17,January,2015,yes,-,C-1000,All NOW items are great,5,,,
Vitamin C,B0013P1GD6,United States ,February 10,February,2015,yes,-,great brand,All good,4,,,
Vitamin C,B0013P1GD6,United States ,September 15,September,2017,yes,yes,OK so far,All is well to date  9/15/2017.,4,,,
Vitamin C,B0013P1GD6,United States ,September 17,September,2015,yes,-,Five Stars,All it's cracked up to be.,5,,,
Vitamin C,B0013P1GD6,United States ,February 17,February,2018,yes,-,Five Stars,All perfect excellent product and fast delivery...,5,,,
Vitamin C,B0013P1GD6,United States ,October 11,October,2014,yes,-,good,"All was OK, good seller",5,,,
Vitamin C,B0013P1GD6,United States ,July 3,July,2017,yes,yes,taste sucks,"Although it might have good vitamin C content. It tastes pretty bad and tablet is big so difficult to swallow without chewing it. So you have to taste it forcefully, which sucks.",4,,,
Vitamin C,B0013P1GD6,United States ,September 20,September,2020,-,-,I would buy them again,Although the pills are a little on the larger side I think they're good.,5,,,
Vitamin C,B0013P1GD6,United States ,October 17,October,2018,-,-,trust amazon?,"Although there were some twists and turns, it was soon received. In the future, my health is guaranteed.",5,,,
Vitamin C,B0013P1GD6,United States ,December 30,December,2018,yes,-,Trust Now products,Always choose Now for my supplements,5,,,
Vitamin C,B0013P1GD6,United States ,April 25,April,2017,yes,-,Five Stars,Always good products at an excellent price from Now.,5,,,
Vitamin C,B0013P1GD6,United States ,September 22,September,2014,-,-,Four Stars,Always like quality of NOW products.  The sustained release makes this strength of  Vit C easier on the stomach.,4,,,
Vitamin C,B0013P1GD6,United States ,February 24,February,2017,yes,-,Five Stars,Always re-order,5,,,
Vitamin C,B0013P1GD6,United States ,October 31,October,2015,yes,yes,Amazing item! Super potent and effective,"Amazing item! Super potent and effective! Vitamin C is a water-soluble vitamin, meaning that your body doesn't store it. If your pee is an orange hue you're taking too much!Signs of Defiency: Anemia, Bleeding gums, Decreased ability to fight infection, Decreased wound-healing rate, Dry and splitting hair, Easy bruising, Gingivitis (inflammation of the gums), Nosebleeds, Possible weight gain because of slowed metabolism, dry skin, swollen and painful joints, and weakened tooth enamel.",5,,,
Vitamin C,B0013P1GD6,United States ,July 1,July,2016,yes,-,It works,An excellent product.,5,,,
Vitamin C,B0013P1GD6,United States ,February 5,February,2020,yes,-,Vitamin C Supplement,Another Vitamin thats Great for Immune System..Great Price.,5,,,
Vitamin C,B0013P1GD6,United States ,March 7,March,2015,yes,-,Love NOW FOODS!,Another great item from NOW FOODS!,5,,,
Vitamin C,B0013P1GD6,United States ,July 1,July,2019,yes,-,Great product.,Another great product from NOW supplements. Easy to swallow.,5,,,
Vitamin C,B0013P1GD6,United States ,September 5,September,2013,yes,yes,Gotta Love Now Foods,"Another great supplement.  I always trust Now's quality, and 250 tabs at 1000mg each can't be beat for this price.  vitamin C is another great supplement to add to your arsenal if you are into heavy weight training.  It helps to boost the immune system, and helps to suppress cortisol release in your body.",5,,,
Vitamin C,B0013P1GD6,United States ,June 28,June,2016,yes,-,Pauling Rath Protocol Meds.,"Another part of the Pauling Rath Protocol, Used for increased Health.",5,,,
Vitamin C,B0013P1GD6,United States ,September 5,September,2020,yes,-,Appear to be fine and work. Packaging was excellent.,Appear to be fine and work. Packaging was excellent.,5,,,
Vitamin C,B0013P1GD6,United States ,June 10,June,2018,yes,-,Five Stars,Appears to be doing the job.,5,,,
Vitamin C,B0013P1GD6,United States ,November 19,November,2016,yes,yes,NOW vitamins have one of the best reputations and quality-results,"Arrived fast, well packed. NOW vitamins have one of the best reputations and quality-results, so I shop them and just a few others. I'm not fond of horse pills, but alas, I take one of these every few hours to help build my depleted immune system, along with all the other vitamins I take",5,,,
Vitamin C,B0013P1GD6,United States ,December 31,December,2014,yes,-,Seem to work just fine.,Arrived timely.  Seem to work just fine.,5,,,
Vitamin C,B0013P1GD6,United States ,November 16,November,2019,yes,-,GOOD,As I expected,5,,,
Vitamin C,B0013P1GD6,United States ,April 16,April,2019,yes,yes,Vitamin C is important to maintain telomere length,"As I may have mentioned in prior reviews a vitamin C, vitamin C at 3 grams or more per day helps to maintain telomere length. As some of you may know maintaining telomere length is important when cells replicate. It helps the cells replication to be more accurate.",5,,,
Vitamin C,B0013P1GD6, India ,October 7,October,2018,yes,-,The contents,As a supplement,5,,,
Vitamin C,B0013P1GD6,United States ,April 20,April,2017,yes,-,Five Stars,As advertised,5,,,
Vitamin C,B0013P1GD6,United States ,August 29,August,2017,yes,-,Five Stars,As advertised,5,,,
Vitamin C,B0013P1GD6,United States ,January 15,January,2016,yes,-,Five Stars,As advertised,5,,,
Vitamin C,B0013P1GD6,United States ,June 7,June,2018,yes,-,Five Stars,As advertised!,5,,,
Vitamin C,B0013P1GD6,United States ,January 10,January,2020,yes,-,Great,As described,5,,,
Vitamin C,B0013P1GD6,United States ,May 9,May,2020,yes,-,As expected,As expected,5,,,
Vitamin C,B0013P1GD6,United States ,February 1,February,2020,yes,-,Great,As expected,5,,,
Vitamin C,B0013P1GD6,United States ,December 26,December,2018,yes,-,Product as expected,As expected,5,,,
Vitamin C,B0013P1GD6,United States ,June 15,June,2018,yes,-,Five Stars,As expected,5,,,
Vitamin C,B0013P1GD6,United States ,November 8,November,2017,yes,-,As expected,As expected,4,,,
Vitamin C,B0013P1GD6,United States ,November 28,November,2017,-,-,Great supplement,"As expected Great vitamin C supplement. The capsule is big but I personally don't have a problem with that. You can't go wrong by taking 1000mg to 2000mg a day of vit C as it is water soluble, meaning that the body can eliminate it without a problem. Only vitamin which excess won't be bad for you.",5,,,
Vitamin C,B0013P1GD6,United States ,October 19,October,2014,yes,-,Five Stars,As expected.,5,,,
Vitamin C,B0013P1GD6,United States ,December 8,December,2019,yes,-,As promised.,As promised.,4,,,
Vitamin C,B0013P1GD6,United States ,August 2,August,2018,yes,-,Five Stars,As promised.  High quality.,5,,,
Vitamin C,B0013P1GD6,United States ,January 1,January,2016,yes,yes,As the flu has taken down just about everyone in ...,"As the flu has taken down just about everyone in my office, I was spared the misery this year.  I take one of these a day unless there are a lot sick people around me, then I'll take two.  I have had no ill side effects and they are gentle on my stomach.",5,,,
Vitamin C,B0013P1GD6,United States ,April 10,April,2016,yes,-,My first choice!,"As vitamin C is a must, so is considering the brand. I am a Now enthusiast as they supply the best products. I Highly recommend!",5,,,
Vitamin C,B0013P1GD6,United States ,November 14,November,2016,yes,yes,Cheap source of synthetic Vitamin C,"Ascorbic Acid a synthetic and cheap source of Vitamin C; better to buy the NOW C-500 Complex with Bioflavonoids, Acerola & Rose Hips. It also contains the synthetic Ascorbic Acid along with the natural Vitamin C.",3,,,
Vitamin C,B0013P1GD6,United States ,August 1,August,2014,yes,-,Three Stars,Average - probably acidic though. Need to check with other companies.,3,,,
Vitamin C,B0013P1GD6,United States ,July 17,July,2015,yes,-,Five Stars,Awesome Vitamin C supplement.,5,,,
Vitamin C,B0013P1GD6,United States ,November 11,November,2016,yes,-,Five Stars,Awesome and gives me extra energy,5,,,
Vitamin C,B0013P1GD6,United States ,June 23,June,2017,yes,-,Awesome customer service,Awesome customer service.. they understood my issue even though I believe it wasn't heir fault . They went the extra mile which is why I will be utilizing them in the future and highly recommend others do the same.,5,,,
Vitamin C,B0013P1GD6,United States ,December 12,December,2016,yes,-,Five Stars,"Awesome product, I've been taking this product as part of my supplement routine. Love it!!!",5,,,
Vitamin C,B0013P1GD6,United States ,August 11,August,2015,yes,-,Five Stars,Awesome!,5,,,
Vitamin C,B0013P1GD6,United States ,May 12,May,2015,yes,-,Be careful when taking this much vitamin c at once ...,Be careful when taking this much vitamin c at once. It made me extremely tired so I switched to taking one pill with dinner.,5,,,
Vitamin C,B0013P1GD6,United States ,December 8,December,2013,-,yes,Be VERY careful using this product. Asorbic Acid kills good gut bacteria.,"Be very careful with this product. I have recently started a diet to repair my gut flora and after researching what ASORBIC ACID actually is, realised that it it is responsible for killing off all the beneficial bacteria in our stomachs. I am still an avid user of NOW Foods, but as far as your intestinal health is concerned I would urge caution with this product!",1,,,
Vitamin C,B0013P1GD6,United States ,July 17,July,2019,yes,yes,Helps immune system!,"Been taking these for a few months. I was really sick last year and started taking two a day (one in the morning, one a night). Seems to be working! It’s an average size pill.",5,,,
Vitamin C,B0013P1GD6,United States ,September 6,September,2014,yes,-,Five Stars,Been taking these for years,5,,,
Vitamin C,B0013P1GD6,United States ,May 9,May,2015,yes,-,They work,"Been taking these for years, never sick with a cold or the flu so I assume this has something to do with that fact.",5,,,
Vitamin C,B0013P1GD6,United States ,May 23,May,2020,yes,-,Good product!,Been taking these vit c to boost immunity during covid. The other popular brands ran out of stock so I ordered this. Works well. I have tried other vitamins from this brand and I have had no problem with them.,4,,,
Vitamin C,B0013P1GD6,United States ,April 23,April,2020,yes,-,Excellent product!,Been using NOW supplements for years. Happy to see that I can order them on Amazon for a great price.,5,,,
Vitamin C,B0013P1GD6,United States ,October 10,October,2020,yes,-,Trusted Brand,Been using it for more than 2 years already along with my other supplements. Me and my husband trust this brand. First time to order from Amazon US since its cheaper. I recommend it.,5,,,
Vitamin C,B0013P1GD6,United States ,February 1,February,2015,yes,yes,Feelin' Great after 3 surgeries in 2014!,Been using this for a long time as part of my health regimen approved by my FNP!,5,,,
Vitamin C,B0013P1GD6,United States ,March 26,March,2018,yes,yes,Keeps the doctor away,"Been using this for a while now, on my 3rd bottle but 1st time buying on Amazon. I love this supplement. It's definitely kept the doctor away.",5,,,
Vitamin C,B0013P1GD6,United States ,March 25,March,2018,yes,-,Five Stars,Been using this for years,5,,,
Vitamin C,B0013P1GD6,United States ,May 1,May,2016,yes,-,Five Stars,Been using this for years excellent product and fast delivery.,5,,,
Vitamin C,B0013P1GD6,United States ,June 1,June,2014,yes,-,Speedy!,"Before I even remembered I'd ordered it, it was here! The pills are big, but so were the last ones of a different brand. I like the sustained release.",5,,,
Vitamin C,B0013P1GD6,United States ,November 9,November,2019,yes,-,Great for relieving soreness.,"Being someone that works out A LOT, I love this product for relieving soreness.  I also love that NOW products are so pure with no added or unnecessary ingredients.",5,,,
Vitamin C,B0013P1GD6,United States ,February 18,February,2016,yes,yes,Very good!,Benn using for over a year and so far so good.,5,,,
Vitamin C,B0013P1GD6,United States ,May 31,May,2016,yes,-,No colds or Flu !,Best Vitamin C on the market!,5,,,
Vitamin C,B0013P1GD6,United States ,January 15,January,2015,yes,-,save money,Best bang for your buck!,5,,,
Vitamin C,B0013P1GD6,United States ,September 7,September,2015,yes,-,Best buy on Vitamin C I've seen in a long ...,"Best buy on Vitamin C I've seen in a long time...I'm a fan of ""NOW"" products and am glad to know I don't have to shop in the stores for this. Thanks...able to use prime and arrived on time.",5,,,
Vitamin C,B0013P1GD6,United States ,January 28,January,2020,yes,-,Best none-organic Vitamin C on Amazon.,"Best none-organic Vitamin C on Amazon. This Vitamin C has the LEAST amount of extra, unnecessary stuff. I have been using it for 7 years. Search Google for ""Vitamin C Flush"". It is a great cleansing method without any negative side effects.",5,,,
Vitamin C,B0013P1GD6,United States ,March 29,March,2015,yes,-,Five Stars,Best prices & fast shipping.,5,,,
Vitamin C,B0013P1GD6, India ,December 25,December,2017,yes,-,Five Stars,Best product,5,,,
Vitamin C,B0013P1GD6, India ,July 23,July,2018,yes,-,Excellent product,Best product ....loved it ..,5,,,
Vitamin C,B0013P1GD6, India ,January 31,January,2018,yes,yes,Five Stars,Best vitamin c????,5,,,
Vitamin C,B0013P1GD6,United States ,September 30,September,2013,-,yes,"Great for all of you ""get colds often"" people","Between seasons, (like now!) I tend to get very sensitive to the changes in weather, which makes me get colds often. So I take vitamin c to help my body be able to withstand the changes. Vitamin C really works people!",5,,,
Vitamin C,B0013P1GD6,United States ,March 9,March,2020,yes,-,Huge pill,Beware.  Pill is huge.,3,,,
Vitamin C,B0013P1GD6,United States ,January 26,January,2015,yes,yes,Not beneficial to me,Beware.  This got rid of all the good bacteria in my stomach per my doctor.  Had to stop taking it because of stomach problems it caused.  Didn't help me at all.,2,,,
Vitamin C,B0013P1GD6,United States ,June 15,June,2020,yes,-,Bien,Bien,5,,,
Vitamin C,B0013P1GD6,United States ,December 17,December,2018,yes,-,C max,"Big ,but do the job.",5,,,
Vitamin C,B0013P1GD6,United States ,May 16,May,2018,yes,-,Another quality Now Foods product!,Big believer in the health benefits of high dosing Vitamin C. They go down easy these are quality tablets at a great price.,5,,,
Vitamin C,B0013P1GD6,United States ,December 12,December,2012,yes,-,Love this product!,"Big bottle, easy to swallow, no unpleasant smells... its a winner!  I believe this brand is just as effective as, if not more than, other brands.",5,,,
Vitamin C,B0013P1GD6,United States ,August 19,August,2013,yes,-,What Can I say?,"Big pills,,, ok to swallow, and no i don't know the absorption rate,, i move up every time i buy Vitamin C,,, next time it will be a Whole food Vitamin C,,,,, but for this round, it ill do.",4,,,
Vitamin C,B0013P1GD6,United States ,April 15,April,2020,yes,yes,Good vitamin- stay healthy,Big vitamin c somewhat easy to swallow,5,,,
Vitamin C,B0013P1GD6,United States ,May 27,May,2020,yes,-,NOW brand Vitamin C undissolvable.,"Bought 2 bottles of the NOW brand Vitamin C, Since it was scarce during this time. I was sorely disappointed. The product does not dissolve. Tested it over night and it still didn’t dissolve. I could only imagine what it was doing to my body inside. The worse part is that they said it was unreturnable,  They need better customer service. Do not buy NOW brand Vitamin C tablets.",1,,,
Vitamin C,B0013P1GD6,United States ,July 16,July,2014,yes,-,Five Stars,Bought this for someone else.  Thanks,5,,,
Vitamin C,B0013P1GD6,United States ,August 10,August,2020,yes,-,Buen producto y cumple lo ofrecido,Buen producto y cumple lo ofrecido,5,,,
Vitamin C,B0013P1GD6, India ,June 17,June,2020,yes,-,Best Vitamin C available in India,"Build immunity to fight off COVID. Been eating Vitamin C 1,000mg per day for over 10 years now. This is an awesome product.",5,,,
Vitamin C,B0013P1GD6,United States ,October 29,October,2019,yes,yes,THESE PILLS ARE WAY TOO BIG  they're non refundable,Buyer beware these pills may be fine for some but for others these things are huge. Give it some thought before you waste your money. Oh yes and by the way (they're non refundable) good luck!,1,,,
Vitamin C,B0013P1GD6,United States ,September 10,September,2014,yes,-,Quality time release C is a necessary.,C is important and time release is necessary.,5,,,
Vitamin C,B0013P1GD6,United States ,November 4,November,2017,-,-,Five Stars,"Came as expected, ?? pill size surprised me, will purchase in the future again",5,,,
Vitamin C,B0013P1GD6,United States ,January 27,January,2020,yes,-,Buy,Can recommend,5,,,
Vitamin C,B0013P1GD6,United States ,September 15,September,2016,yes,yes,Quality product at such a good price,Can't deny the fact that this is one of my best supplements. Does wonders to my skin as well. Remember taking C1000 while pregnant with my second son and I never had any issue with flu even though my first son caught it and was with me all through.Will be buying this again and again. Had to share some of mine with my mom and friend.Great price and quality product.,5,,,
Vitamin C,B0013P1GD6,United States ,April 4,April,2015,yes,-,Five Stars,Can't do without this vitamin C!,5,,,
Vitamin C,B0013P1GD6,United States ,September 27,September,2017,yes,-,... rate how vitamins/supplements work in the body but I like the product,Can't rate how vitamins/supplements work in the body but I like the product.,5,,,
Vitamin C,B0013P1GD6,United States ,March 31,March,2016,yes,-,Five Stars,Cant go wrong.,5,,,
Vitamin C,B0013P1GD6,United States ,December 25,December,2018,yes,-,HUGE pills unable to swallow,Can’t swallow the huge pills!,1,,,
Vitamin C,B0013P1GD6,United States ,October 4,October,2020,yes,-,Good supplement,Capsule is a bit bigger than I expected. Definitely not for children and us flavorless.,3,,,
Vitamin C,B0013P1GD6,United States ,October 5,October,2020,yes,-,Capsule hard to swallow,Capsules  large hard to swallow.,5,,,
Vitamin C,B0013P1GD6,United States ,December 3,December,2019,yes,-,Misleading  bait and switch product,Cause back and joint pains from synthetic material misleading description Rose hip only 25 gSynthetic ascorbic acid source not listed,1,,,
Vitamin C,B0013P1GD6,United States ,August 22,August,2019,yes,-,No problems,Cold and sore throat issues,5,,,
Vitamin C,B0013P1GD6, India ,April 13,April,2019,yes,yes,Second time order and color of tablet is different,"Color of tablets are different in each bottle. So I really don't know that whether it is ok or it's duplicate ?Coz I have never seen color of other medicines change ever. But am not much into health related tablets, so I don't know whether its common over here or not. People reply if you can help me regarding it. I still got 30 tablets left from my last order. So will start consuming when I get satisfactory reply.",5,,,
Vitamin C,B0013P1GD6,United States ,April 13,April,2020,yes,-,Need Vitamin C,"Could not find Vitamin C anywhere in stores, it's suppose to be good for fighting infection.  I've marked this down because for me the pill is very large to swallow.  I'm not sure yet about absorbency because just started using.  Not sure I will buy again if Costco ever gets it back in stock, but I like the idea of taking this.",4,,,
Vitamin C,B0013P1GD6,United States ,February 10,February,2016,yes,-,Five Stars,Daily vitamin,5,,,
Vitamin C,B0013P1GD6,United States ,June 24,June,2018,yes,-,Excelente,De acuerdo con lo solicitado,5,,,
Vitamin C,B0013P1GD6,United States ,April 27,April,2020,yes,-,Reembolso,"Debo informarle que hube de cambiar de tarjeta, es por ello que el reembolso que debo recibir no se podrá hacer porque tengo otro número, qué debo hacer en ese sentido.",5,,,
Vitamin C,B0013P1GD6,United States ,July 2,July,2017,yes,-,Very good product,"Definitely a good source of getting my vitamin C. It is larger than some would expect, and may need to be taken by itself. Minimal taste, which is good.",4,,,
Vitamin C,B0013P1GD6,United States ,December 3,December,2014,yes,-,ab hour later I'm better. Definitely quality here,"Definitely is keeping me healthy. Especially with all the junk food and workout supplements I've been taking. I take 1 a day, and if I feel a cold coming or something, ab hour later I'm better. Definitely quality here.",5,,,
Vitamin C,B0013P1GD6,United States ,January 30,January,2018,yes,-,Five Stars,Definitely will buy again.,5,,,
Vitamin C,B0013P1GD6,United States ,April 29,April,2019,yes,-,Value,Delivered,5,,,
Vitamin C,B0013P1GD6,United States ,April 20,April,2019,yes,-,A Terrific Value,"Despite what is so often claimed virtually all Vitamin C is the same (exception is Liposomal).  Thus if you are one that uses 'mega dosing' to handle minor health problems this is one of the best choices.I would imagine that swallowing a single tablet for daily use would be reasonably easy but when taking 6 a little difficulty is noticed.The flavor of Vitamin C is sharp (it is an acid).  However, unless you let these dissolve in your mouth, you will probably not notice any flavor.I can only presume absorbency is good, since they do seem to be effective.",5,,,
Vitamin C,B0013P1GD6,United States ,March 23,March,2018,-,yes,but if you can't absorb it it is completely USELESS! Stop using this garbage,"Do NOT take ANY supplements with magnesium stearate in them. It creates a biofilm in your intestines which PREVENT you from absorbing any nutrients. What is the sense of taking them if you can't absorb them? I know it's cheaper for them to use this to pack as much product into each capsule as possible, but if you can't absorb it it is completely USELESS! Stop using this garbage. We don't want to pay for useless vitamins. We take them to get well, not to trick our bodies. Liars. They try to trick us with all these fancy labels no gluten no yeast no blah blah blah, but we can't even absorb them into our cells and bloodstream. Please. Please make sure you buy vitamins which do not use all these gimmicks and clearly state they use no fillers and no excipients. I don't care if the dose is 5000 mg per pill these pills do NOTHING for you. You are all getting DUPED.",1,,,
Vitamin C,B0013P1GD6,United States ,January 16,January,2019,yes,-,Eat before taking.,"Do not take on an empty stomach, it will come back up. You’ve been warned.",4,,,
Vitamin C,B0013P1GD6,United States ,March 6,March,2015,yes,-,Not Quite,"Do't seem to get the boost I do from other ""C""",2,,,
Vitamin C,B0013P1GD6,United States ,July 1,July,2020,yes,-,Probably most affordable,"Doctor recommended a small dose of vitamin c everyday, i did some research and found this to be the most affordable for the quantity and dosage. I actually cut the pills in half so i get even double the amount i need...",5,,,
Vitamin C,B0013P1GD6,United States ,August 27,August,2019,yes,-,Good value,Doctor recommended and have been a great product. Easy to swallow.,5,,,
Vitamin C,B0013P1GD6,United States ,December 15,December,2017,-,-,Five Stars,Does its job,5,,,
Vitamin C,B0013P1GD6,United States ,July 27,July,2015,yes,-,Does not cause stomach upset for us and enhances our ...,"Does not cause stomach upset for us and enhances our immune systems. Check, it may do the same for you.",5,,,
Vitamin C,B0013P1GD6,United States ,March 19,March,2016,yes,-,COLD GERMS BEWARE,Does what it's supposed to do.,5,,,
Vitamin C,B0013P1GD6,United States ,July 17,July,2018,yes,-,Four Stars,Does what it's supposed to.,4,,,
Vitamin C,B0013P1GD6,United States ,February 10,February,2018,yes,-,Great value,Does what it’s supposed to,5,,,
Vitamin C,B0013P1GD6,United States ,January 7,January,2018,-,-,easy,Doesnt get much easier all the vitamin c in one tablet. Helps not get sick,4,,,
Vitamin C,B0013P1GD6,United States ,April 4,April,2020,yes,yes,price gouging,Don't buy this product at this price-price gouging,1,,,
Vitamin C,B0013P1GD6,United States ,September 11,September,2017,yes,-,Three Stars,Don't use tablets of any kind this big.,3,,,
Vitamin C,B0013P1GD6,United States ,August 2,August,2020,yes,-,Time released,During this pandemic especially enough vitamin C seems is very crucial according to Doctors.This one is great because of the time release. Too much vitamin C at one time means you lose anything your body can't absorb right away.,5,,,
Vitamin C,B0013P1GD6,United States ,August 25,August,2016,yes,-,Five Stars,EXCELENT,5,,,
Vitamin C,B0013P1GD6,United States ,February 11,February,2014,yes,yes,WORKS,Easily the one of the best sources for a quality Vitamin supplement. Dosage is high and in range with what Dr. Pauling's recommendation in his treatise on the subject.,5,,,
Vitamin C,B0013P1GD6,United States ,December 19,December,2019,yes,-,Easy,Easy,5,,,
Vitamin C,B0013P1GD6,United States ,September 2,September,2015,yes,-,Dont tke on empty stomach,Easy to swallow Dont leave an after taste Large pills so if u don't like large pills I wouldn't recommend I been on thm for bout month I notice if taken on empty stomach actually makes me feel ill so follow directions n take w meal,5,,,
Vitamin C,B0013P1GD6,United States ,October 23,October,2019,yes,-,Perfect 1000mg vit c,Easy to swallow pill. No sour taste when you intake it. Perfect for immunocompromised people,5,,,
Vitamin C,B0013P1GD6,United States ,May 18,May,2020,yes,-,A+,Easy to swallow quantity is great!,5,,,
Vitamin C,B0013P1GD6,United States ,December 17,December,2015,yes,yes,Easy to take,"Easy to take. Not sure what else to say about Vitamin C tablets - they work, they're high quality.",5,,,
