,Category,Subcat,name,price,price_cat,stars,stars_cat,sales,sales_cat
1565,Business,E-Commerce ManagementNew,help you with china sourcing alibaba 1688 factory search,596,High,5,Five,6,Low
1566,Writing & Translation,Creative Writing,write creative rhyming poems for you to want more,15,Low,5,Five,8,Low
1567,Video & Animation,Article to VideoNew,convert article script blog  into a  video with voice over,5,Very Low,5,Five,10,Low
1568,Writing & Translation,UX Writing,write clear and concise microcopy that drives user actions,10,Very Low,5,Five,3,Low
1569,Digital Marketing,Local SEO,skyrocket your gmb with 1k google map citation for local seo,5,Very Low,4.9,Four+,41,Low
1570,Music & Audio,Singers & Vocalists,be your female vocalist session singer,90,Medium,5,Five,13,Low
1571,Writing & Translation,Product Descriptions,write a selling amazon product listing and description,35,Low,5,Five,1k+,Huge
1572,Music & Audio,Mixing & Mastering,mix and master your tracks for commercial release,35,Low,5,Five,16,Low
1573,Writing & Translation,Technical Writing,write for teaching purposes,50,Low,nul,No Star,nul,No Sale
1574,Writing & Translation,UX Writing,"write UX microcopy for your app, website, or chatbot",15,Low,nul,No Star,nul,No Sale
1575,Writing & Translation,Case Studies,deliver any writing task within 24 hours,5,Very Low,5,Five,1,Low
1576,Lifestyle,Personal StylistsNew,be your personal aesthetic fashion stylist,10,Very Low,5,Five,1,Low
1577,Programming & Tech,Cybersecurity & Data ProtectionNew,help you to identify if your account has been compromised,150,Medium,nul,No Star,nul,No Sale
1578,Writing & Translation,Book & eBook Writing,"ghostwrite 20,000 words ebook as your ebook writer and ghostwriter",50,Low,5,Five,5,Low
1579,Writing & Translation,Legal Writing,file and draft patents design and utility applications,200,Medium,5,Five,20,Low
1580,Lifestyle,Traveling,advise and research on anything about africa,5,Very Low,5,Five,4,Low
1581,Lifestyle,Astrology & Readings,do a love reading and channel love messages for you,15,Low,5,Five,1,Low
1582,Business,HR ConsultingNew,help you throughout the recruitment process,40,Low,nul,No Star,nul,No Sale
1583,Business,Market Research,perform market research for your app,150,Medium,5,Five,1,Low
1584,Lifestyle,Traveling,buy and send you anything you want from germany,15,Low,5,Five,1,Low
1585,Video & Animation,Live Action Explainers,make a commercial or explainer video,250,High,4.9,Four+,609,Huge
1586,Lifestyle,Spiritual & Healing,attune love attraction power and charisma,15,Low,5,Five,144,Moderate
1587,Writing & Translation,Case Studies,write a case study to connect with your customers,500,High,5,Five,4,Low
1588,Business,Virtual Assistant,add product for shopify etsy woocommerce printify store,25,Low,5,Five,101,Moderate
1589,Video & Animation,Logo Animation,make your high quality animation intro,65,Medium,4.9,Four+,89,Moderate
1590,Writing & Translation,Speechwriting,write a magnificent speech in 24 hours,15,Low,5,Five,18,Low
1591,Business,Lead Generation,cold call list of individuals or businesses to generate leads,95,Medium,nul,No Star,nul,No Sale
1592,Writing & Translation,Case Studies,solve all of your case study related problems,10,Very Low,5,Five,1,Low
1593,Video & Animation,App & Website Previews,create an outstanding app promo video,50,Low,5,Five,17,Low
1594,Writing & Translation,Articles & Blog Posts,"be your SEO website content writer, article and blog writer",70,Medium,5,Five,301,Huge
1595,Video & Animation,Unboxing VideosNew,"do product unboxing, 360, demo videography for you",65,Medium,5,Five,3,Low
1596,Digital Marketing,Web Traffic,send organic social media traffic,40,Low,5,Five,48,Low
1597,Lifestyle,Arts & Crafts,teach you how to make cute crochet things,5,Very Low,nul,No Star,nul,No Sale
1598,Writing & Translation,Translation,translate danish to english or english to danish,5,Very Low,5,Five,33,Low
1599,Lifestyle,Spiritual & Healing,cast a fully custom midnight spell casting for you any desire,10,Very Low,5,Five,21,Low
1600,Music & Audio,Voice Over,"voice your self help video, narration, documentary",5,Very Low,nul,No Star,nul,No Sale
1601,Programming & Tech,Online Coding LessonsNew,guide you and teach you  how to be a laravel and vue js developer,10,Very Low,5,Five,5,Low
1602,Business,HR ConsultingNew,"outsource, interview applicants and survey participants",5,Very Low,nul,No Star,nul,No Sale
1603,Lifestyle,Greeting Cards & Videos,make happy birthday video from the world leaders,5,Very Low,5,Five,61,Moderate
1604,Business,Legal Consulting,file and prepare design or utility patent,65,Medium,5,Five,99,Moderate
1605,Video & Animation,Unboxing VideosNew,unbox your product or item on video,100,Medium,5,Five,5,Low
1606,Music & Audio,Producers & Composers,compose epic orchestral cinematic music with realistic orchestra sound,15,Low,5,Five,22,Low
1607,Business,Branding Services,"write your company description, about us, mission statement",40,Low,4.9,Four+,95,Moderate
1608,Lifestyle,Fitness Lessons,teach yoga online with a focus on alignment,20,Low,5,Five,2,Low
1609,Writing & Translation,Email Copy,write highly converting emails,15,Low,5,Five,23,Low
1610,Lifestyle,Greeting Cards & Videos,do happy birthday video,10,Very Low,4.9,Four+,12,Low
1611,Digital Marketing,Influencer Marketing,create a tik tok dance video to promote your music,35,Low,4.8,Four+,55,Moderate
1612,Music & Audio,Session Musicians,record professional keyboards on your tracks,25,Low,5,Five,2,Low
1613,Lifestyle,Viral Videos,"model for funny videos, acting, viral challenges and singing",5,Very Low,5,Five,3,Low
1614,Digital Marketing,Music Promotion,submit your song to music playlists,130,Medium,5,Five,108,Moderate
1615,Writing & Translation,Beta Reading,thoroughly beta read your manuscript,30,Low,5,Five,33,Low
1616,Music & Audio,SongwritersNew,write chords that will make you cry,25,Low,4.8,Four+,2,Low
1617,Writing & Translation,Sales Copy,"write persuasive sales page,sales copy,landing page",55,Medium,5,Five,12,Low
1618,Writing & Translation,Social Media Copy,be your social media captions content writer,70,Medium,4.9,Four+,91,Moderate
1619,Music & Audio,Audio Ads ProductionNew,create a professional radio commercial for you,30,Low,5,Five,167,Huge
1620,Digital Marketing,Music Promotion,"soundcloud music promo, marketing",10,Very Low,4.9,Four+,13,Low
1621,Video & Animation,Animation for Streamers,design an animated starting ending soon,25,Low,4.9,Four+,30,Low
1622,Lifestyle,Traveling,"do anything for you from monterrey, mexico",15,Low,5,Five,4,Low
1623,Business,Flyer Distribution,manually post your ads on USA classified ad posting sites,10,Very Low,4.8,Four+,48,Low
1624,Lifestyle,Online Lessons,solve all your geology and environmental problems,5,Very Low,4.9,Four+,13,Low
1625,Programming & Tech,QA,"do software testing, app testing, website testing or quality assurance",10,Very Low,4.7,Four+,11,Low
1626,Lifestyle,Fitness Lessons,teach you private yoga classes,50,Low,5,Five,1,Low
1627,Business,Data Entry,do any kind of data entry and admin support work,10,Very Low,5,Five,37,Low
1628,Business,E-Commerce ManagementNew,create shipping plan for amazon fba shipment over 200 units,30,Low,5,Five,5,Low
1629,Digital Marketing,Domain Research,brainstorm ranking domains with keywords for your website,10,Very Low,nul,No Star,nul,No Sale
1630,Writing & Translation,Press Releases,write a newsworthy press release for your brand,90,Medium,5,Five,20,Low
1631,Lifestyle,Gaming,give you challenger coaching in league of legends,20,Low,4.9,Four+,50,Low
1632,Writing & Translation,Technical Writing,do srs documentation with all diagrams professionally,5,Very Low,4.9,Four+,49,Low
1633,Music & Audio,Producers & Composers,compose trance pop and j pop song,80,Medium,5,Five,2,Low
1634,Programming & Tech,E-Commerce Development,"Our studio will create a complete, professional shopify store with seo",1242,High,nul,No Star,nul,No Sale
1635,Lifestyle,Astrology & Readings,"cast ultimate powerful african sangoma obsession, love, spell",10,Very Low,4.9,Four+,253,Huge
1636,Programming & Tech,Game Development,develop unity game and plugins,40,Low,5,Five,4,Low
1637,Writing & Translation,Cover Letters,write you a perfectly tailored cover letter,10,Very Low,5,Five,1,Low
1638,Programming & Tech,QA,make a video walkthrough for any game,5,Very Low,4.8,Four+,35,Low
1639,Business,Data Entry,"do data entry, internet research and data analysis",10,Very Low,5,Five,289,Huge
1640,Writing & Translation,Case Studies,"analyze case study on leadership, management and ethics",10,Very Low,5,Five,2,Low
1641,Writing & Translation,Transcripts,"transcribe video or audio in 24 hours, native english speaker transcription",10,Very Low,nul,No Star,nul,No Sale
1642,Writing & Translation,Speechwriting,write a from the heart wedding speech,10,Very Low,4.9,Four+,322,Huge
1643,Writing & Translation,Social Media Copy,write your social media posts,75,Medium,5,Five,2,Low
1644,Business,Data Entry,collect email from instagram,40,Low,4.9,Four+,25,Low
1645,Writing & Translation,Articles & Blog Posts,write you an article that people want to read and share,50,Low,5,Five,208,Huge
1646,Music & Audio,Jingles & Intros,voice and produce flawless podcast intro with sfx and music,20,Low,5,Five,36,Low
1647,Business,Business Consulting,help you grow your cleaning business,5,Very Low,4.9,Four+,74,Moderate
1648,Video & Animation,Live Action Explainers,create HD brand commercial video and promotional video ads,5,Very Low,5,Five,2,Low
1649,Business,Business Plans,write you an outstanding business plan,100,Medium,5,Five,47,Low
1650,Video & Animation,App & Website Previews,create an amazing 2d animated app or website explainer video,75,Medium,5,Five,23,Low
1651,Writing & Translation,Book EditingNew,edit and proofread your book,100,Medium,nul,No Star,nul,No Sale
1652,Lifestyle,Cooking Lessons,give you vegan recipes or vegan books or vegan video,10,Very Low,5,Five,1,Low
1653,Writing & Translation,Beta Reading,provide an exceptional beta review,15,Low,4.8,Four+,99,Moderate
1654,Business,E-Commerce ManagementNew,do amazon product research for fba private label   bonus,75,Medium,5,Five,279,Huge
1655,Video & Animation,Animation for Streamers,do pro twitch animated overlay and complete stream package,5,Very Low,4.7,Four+,31,Low
1656,Music & Audio,Sound DesignNew,"deliver a great sound design, mix and master projects",20,Low,nul,No Star,nul,No Sale
1657,Writing & Translation,Book & eBook Writing,write and design your pdf book,85,Medium,5,Five,6,Low
1658,Business,Branding Services,write a powerful vision and mission statement,155,Medium,4.9,Four+,611,Huge
1659,Writing & Translation,Articles & Blog Posts,write expert business or investment articles,210,High,5,Five,15,Low
1660,Writing & Translation,Transcripts,provide 60 minutes of accurate audio or video transcripts,5,Very Low,5,Five,30,Low
1661,Music & Audio,Session Musicians,record acoustic drums in a professional way on your project from pop to jazz,100,Medium,5,Five,28,Low
1662,Writing & Translation,Creative Writing,"create custom homebrew classes, races, items, and more for dnd 5e",10,Very Low,5,Five,7,Low
1663,Business,Lead Generation,do b2b lead generation by using linkedin sales navigator,20,Low,4.8,Four+,128,Moderate
1664,Digital Marketing,Music Promotion,play your song over 500 times on our fm radio station,100,Medium,4.9,Four+,160,Huge
1665,Digital Marketing,E-Commerce Marketing,find winning shopify dropshipping products with video ads,40,Low,4.9,Four+,586,Huge
1666,Business,Project ManagementNew,do your project management tasks and scheduling,20,Low,5,Five,3,Low
1667,Lifestyle,Cooking Lessons,create a cooking video recipe like tasty buzzfeed food,80,Medium,5,Five,40,Low
1668,Writing & Translation,Articles & Blog Posts,write professional mortgage blog posts,20,Low,5,Five,153,Huge
1669,Video & Animation,Animation for Streamers,"craft professional twitch logo, overlays and screens within 24 hrs",10,Very Low,5,Five,23,Low
1670,Programming & Tech,Online Coding LessonsNew,teach you software testing tools and techniques,70,Medium,4.9,Four+,10,Low
1671,Writing & Translation,Social Media Copy,create social media copy for instagram facebook ads,5,Very Low,4.6,Four+,3,Low
1672,Video & Animation,Animated GIFs,do animation GIF for social media,95,Medium,5,Five,3,Low
1673,Writing & Translation,Email Copy,write a highly converting soap opera email sequence,5,Very Low,4.9,Four+,10,Low
1674,Programming & Tech,Desktop Applications,make ms teams be a phone system for you,300,High,nul,No Star,nul,No Sale
1675,Writing & Translation,Brand Voice & Tone,write a powerful vision and mission statement in 24 hours,20,Low,5,Five,14,Low
1676,Writing & Translation,Book EditingNew,edit your fantasy novel,75,Medium,5,Five,2,Low
1677,Writing & Translation,Book & eBook Writing,"be your ebook writer, ghost writer and proof read your ebook",50,Low,5,Five,2,Low
1678,Music & Audio,Dialogue Editing,"quickly repair, enhance, edit, and denoise your audio",10,Very Low,5,Five,3,Low
1679,Writing & Translation,Brand Voice & Tone,create your nonprofit mission and vision statements,25,Low,5,Five,158,Huge
1680,Music & Audio,DJ Drops & Tags,make you an intro or outro song for your youtube videos,20,Low,5,Five,6,Low
1681,Lifestyle,"Health, Nutrition & Fitness","conduct research on medicine, nursing and public health",5,Very Low,5,Five,7,Low
1682,Music & Audio,Session Musicians,"record professionally piano, keyboards or synths on any song",25,Low,5,Five,29,Low
1683,Video & Animation,eLearning Video ProductionNew,work on 3d medical animation video,976,High,4.9,Four+,11,Low
1684,Lifestyle,Craft Lessons,teach you how to make crochet handcrafts with wools,5,Very Low,nul,No Star,nul,No Sale
1685,Programming & Tech,Databases,"develop database projects in ms access, mysql or ms sql",5,Very Low,5,Five,14,Low
1686,Video & Animation,Real Estate Promos,make real estate video promo for realtors,10,Very Low,5,Five,106,Moderate
1687,Writing & Translation,Business Names & Slogans,develop an amazing business name and slogan,5,Very Low,nul,No Star,nul,No Sale
1688,Business,Lead Generation,provide exclusive final expense leads,10,Very Low,4.8,Four+,4,Low
1689,Lifestyle,Fitness Lessons,create professional exercise fitness videos,30,Low,5,Five,161,Huge
1690,Music & Audio,Audio Ads ProductionNew,"create an amazing radio ready ad for you, includes everything",5,Very Low,5,Five,1k+,Huge
1691,Video & Animation,Live Action Explainers,create professional looking HD videos to explain content,10,Very Low,5,Five,40,Low
1692,Business,Data Entry,"do perfect data entry, web research and copy paste",60,Medium,5,Five,848,Huge
1693,Video & Animation,Real Estate Promos,create real estate video for we buy houses for cash theme,25,Low,5,Five,26,Low
1694,Writing & Translation,Legal Writing,"register trademark in india, free primary search and report",50,Low,5,Five,4,Low
1695,Video & Animation,Unboxing VideosNew,create a product advertisement or unboxing video,75,Medium,4.9,Four+,9,Low
1696,Video & Animation,eLearning Video ProductionNew,develop professional elearning module in articulate storyline,10,Very Low,nul,No Star,nul,No Sale
1697,Lifestyle,Cooking Lessons,"backing measurements in grams, onus, ml and  recipes",15,Low,nul,No Star,nul,No Sale
1698,Programming & Tech,Game Development,do unity 3d game development and design,40,Low,5,Five,7,Low
1699,Programming & Tech,WordPress,full redesign wordpress website,35,Low,5,Five,1,Low
1700,Video & Animation,eLearning Video ProductionNew,make video course for any platform,90,Medium,5,Five,4,Low
1701,Music & Audio,Podcast EditingNew,produce your radio show or podcast,25,Low,5,Five,4,Low
1702,Writing & Translation,Translation,"translate swedish, danish, norwegian, icelandic, faroese",5,Very Low,5,Five,65,Moderate
1703,Business,Virtual Assistant,be your 24 hr personal virtual assistant making  calls etc,40,Low,5,Five,23,Low
1704,Music & Audio,Sound DesignNew,design the highest quality sound effects for your games,30,Low,5,Five,1,Low
1705,Writing & Translation,Brand Voice & Tone,create your brand guidelines book,40,Low,4.5,Four+,44,Low
1706,Digital Marketing,Domain Research,find a handpicked killer domain name for your business,95,Medium,5,Five,2,Low
1707,Video & Animation,Animation for Kids,create 3d animation for kids,75,Medium,4.9,Four+,22,Low
1708,Video & Animation,Logo Animation,animate your logo according to your needs,180,Medium,5,Five,207,Huge
1709,Programming & Tech,Cybersecurity & Data ProtectionNew,test and apply system hardening on your web server,150,Medium,5,Five,1,Low
1710,Writing & Translation,Translation,transcreate your marketing copy from english to german,10,Very Low,5,Five,6,Low
1711,Lifestyle,Arts & Crafts,3d print your miniatures for you,20,Low,5,Five,4,Low
1712,Video & Animation,Spokespersons Videos,be your video spokesperson,60,Medium,5,Five,1k+,Huge
1713,Video & Animation,Whiteboard & Animated Explainers,create kinetic typography video,15,Low,5,Five,408,Huge
1714,Lifestyle,Your Message On...,"place niche edit on my  top performing 700 rd, home niche website",35,Low,5,Five,10,Low
1715,Programming & Tech,Databases,design sql database queries also oracle and access tasks,5,Very Low,5,Five,9,Low
1716,Lifestyle,Cooking Lessons,give simple and authentic indian recipes,20,Low,5,Five,1,Low
1717,Video & Animation,Intros & Outros,"create beauty guru intro, outro, banner, youtube branding",50,Low,5,Five,9,Low
1718,Lifestyle,Craft Lessons,send you an awesome beaded bee beading tutorials,5,Very Low,nul,No Star,nul,No Sale
1719,Lifestyle,Spiritual & Healing,provide powerful meditation scripts for commercial use,10,Very Low,4.9,Four+,104,Moderate
1720,Writing & Translation,UX Writing,write your about us website page,15,Low,nul,No Star,nul,No Sale
1721,Programming & Tech,Development for StreamersNew,setup obs for professional streaming and recording,5,Very Low,5,Five,81,Moderate
1722,Lifestyle,"Health, Nutrition & Fitness","write medical articles, health content copywriter",5,Very Low,4.9,Four+,49,Low
1723,Writing & Translation,Scriptwriting,write your professional video script,125,Medium,4.9,Four+,158,Huge
1724,Video & Animation,Spokespersons Videos,be your green screen video spokesperson,10,Very Low,5,Five,106,Moderate
1725,Lifestyle,"Health, Nutrition & Fitness",be your fitness model,10,Very Low,5,Five,16,Low
1726,Video & Animation,Game Trailers,edit your cod fortnite valorant gaming montage with 3d intro,5,Very Low,5,Five,89,Moderate
1727,Music & Audio,Jingles & Intros,make podcast intro or jingle full band,15,Low,5,Five,1k+,Huge
1728,Video & Animation,Subtitles & Captions,subtitle videos from english to italian and italian to english,5,Very Low,5,Five,11,Low
1729,Programming & Tech,Cybersecurity & Data ProtectionNew,issue and install SSL certificate,200,Medium,5,Five,2,Low
1730,Writing & Translation,Creative Writing,worldbuild for dungeons and dragons,5,Very Low,5,Five,16,Low
1731,Lifestyle,Spiritual & Healing,create supercharged subliminal bundle with quick results,50,Low,5,Five,47,Low
1732,Business,Financial ConsultingNew,"do bookkeeping on quickbooks online, desktop, xero, excel",10,Very Low,5,Five,10,Low
1733,Music & Audio,Vocal Tuning,professionally edit and enhance your vocals,35,Low,5,Five,51,Moderate
1734,Digital Marketing,Influencer Marketing,guest post on quality finance blog,5,Very Low,4.9,Four+,97,Moderate
1735,Writing & Translation,Scriptwriting,write your comic script,50,Low,4.9,Four+,69,Moderate
1736,Video & Animation,Real Estate Promos,create a modern facebook video for your mortgage or real estate business,100,Medium,nul,No Star,nul,No Sale
1737,Lifestyle,Traveling,do anything for you from austria,5,Very Low,5,Five,2,Low
1738,Video & Animation,Video Editing,create professional demo reel and promotional video,50,Low,4.8,Four+,79,Moderate
1739,Writing & Translation,Scriptwriting,"write some really cool copy or scripts for your brand, socials, and projects",75,Medium,nul,No Star,nul,No Sale
1740,Video & Animation,Slideshows Videos,produce your perfect vsl video sales letter,100,Medium,5,Five,180,Huge
1741,Business,Lead Generation,"provide list of 40,000 dubai ultra high net worth investors",295,High,5,Five,3,Low
1742,Business,Lead Generation,lead generation for your cash advance business,20,Low,4,Four+,2,Low
1743,Business,HR ConsultingNew,"human resource management, business, marketing work",5,Very Low,5,Five,2,Low
1744,Lifestyle,Greeting Cards & Videos,make a personalised video in the style of a disney princess,25,Low,5,Five,142,Moderate
1745,Lifestyle,Gaming,train your aim to a professional level in valorant or anything else,25,Low,4.9,Four+,145,Moderate
1746,Music & Audio,Music TranscriptionNew,transcribe or write down any kind of music,5,Very Low,5,Five,2,Low
1747,Writing & Translation,Speechwriting,compose and write your comedy writings,5,Very Low,2.7,Four+,5,Low
1748,Lifestyle,Astrology & Readings,do one love prediction,20,Low,4.9,Four+,755,Huge
1749,Music & Audio,Sound DesignNew,do sound design for your project in a day,25,Low,5,Five,277,Huge
1750,Video & Animation,Animation for Streamers,create custom animated twitch pack for your stream,150,Medium,5,Five,214,Huge
1751,Lifestyle,Collectibles,"send you more than 200 nail art ideas, second part",5,Very Low,5,Five,1,Low
1752,Video & Animation,Local PhotographyBeta,take pictures for your real estate listing,125,Medium,5,Five,3,Low
1753,Lifestyle,Family & Genealogy,help track your irish ancestors from mid 1700s to mid 1900s ireland genealogy,80,Medium,5,Five,1,Low
1754,Lifestyle,Arts & Crafts,provide laser cut services and mail your vector art,30,Low,5,Five,3,Low
1755,Programming & Tech,Website Builders & CMS,"create thinkific website,teachable website for online course",40,Low,4.9,Four+,17,Low
1756,Lifestyle,Celebrity Impersonators,voice a realistic celebrity impersonation or character voice,10,Very Low,4.9,Four+,139,Moderate
1757,Music & Audio,Session Musicians,"add keys, synth, piano or organ to your music",50,Low,4.9,Four+,88,Moderate
1758,Programming & Tech,Convert Files,"format your poetry book for paperback, kindle  and epub",10,Very Low,5,Five,15,Low
1759,Lifestyle,Greeting Cards & Videos,get a disney princess to send a short personalised video,15,Low,5,Five,7,Low
1760,Business,Data Entry,accurately capture your data,10,Very Low,5,Five,18,Low
1761,Writing & Translation,Book & eBook Writing,ghostwrite a book or an ebook,10,Very Low,5,Five,217,Huge
1762,Writing & Translation,Podcast Writing,create show notes for your podcast,5,Very Low,5,Five,2,Low
1763,Writing & Translation,Press Releases,write your press release and advise on media strategy,100,Medium,5,Five,10,Low
1764,Writing & Translation,Product Descriptions,write a killer SEO amazon listing product description fba optimization,55,Medium,5,Five,1k+,Huge
1765,Writing & Translation,UX Writing,write your digital copy,5,Very Low,4.7,Four+,1,Low
1766,Business,Market Research,"deliver valuable market research, comprehensive and concise",105,Medium,5,Five,24,Low
1767,Music & Audio,Audio Ads ProductionNew,record your podcast intro and outro,20,Low,5,Five,2,Low
1768,Music & Audio,Audiobook ProductionNew,Our studio will record and edit a professional audiobook,260,High,nul,No Star,nul,No Sale
1769,Digital Marketing,Local SEO,we will rank your google my business listing top 3 for local keywords,295,High,nul,No Star,nul,No Sale
1770,Video & Animation,Lyric & Music Videos,make you a music festival video,70,Medium,4.9,Four+,246,Huge
1771,Lifestyle,Relationship Advice,cast potent djinn relationship and marriage obsession love spells,10,Very Low,5,Five,9,Low
1772,Video & Animation,Animation for Streamers,do custom animated alerts twitch,25,Low,5,Five,33,Low
1773,Video & Animation,Local PhotographyBeta,create lifestyle photoshoot in new york,450,High,nul,No Star,nul,No Sale
1774,Video & Animation,Unboxing VideosNew,complete an amazing unboxing video on your product,30,Low,5,Five,203,Huge
1775,Lifestyle,Gaming,"get you to any rank desired, radiant player, eu and na",15,Low,4.9,Four+,39,Low
1776,Lifestyle,Craft Lessons,teach any level of crochet,15,Low,5,Five,2,Low
1777,Programming & Tech,Support & IT,provide salesforce admin solutions and development,5,Very Low,5,Five,6,Low
1778,Lifestyle,Viral Videos,be your female model,5,Very Low,5,Five,24,Low
1779,Video & Animation,Short Video Ads,create instagram and facebook video ads for you,75,Medium,nul,No Star,nul,No Sale
1780,Music & Audio,SongwritersNew,"can help write, compose and produce your songs",55,Medium,5,Five,9,Low
1781,Video & Animation,Lyric & Music Videos,"create unique, animated lyric video for you",100,Medium,5,Five,180,Huge
1782,Music & Audio,Audiobook ProductionNew,professionally edit and master your audiobook for 5 dollars,5,Very Low,5,Five,4,Low
1783,Video & Animation,Screencasting Videos,record HD video screencast tutorial in 24 hrs,20,Low,4.9,Four+,161,Huge
1784,Writing & Translation,Proofreading & Editing,"be your motivational ebook writer, ghostwriter, and editor",20,Low,5,Five,4,Low
1785,Writing & Translation,Transcripts,"transcribe your audio, video files fast and accurately",5,Very Low,5,Five,584,Huge
1786,Video & Animation,Animated GIFs,create customized 2d animated gifs,40,Low,4.8,Four+,27,Low
1787,Video & Animation,Spokespersons Videos,read your script as a breaking news program,95,Medium,5,Five,11,Low
1788,Video & Animation,Book Trailers,create a cinematic trailer promo teaser book video,40,Low,5,Five,29,Low
1789,Lifestyle,Relationship Advice,create a dating profile people will notice,50,Low,5,Five,132,Moderate
1790,Programming & Tech,Game Development,develop and reskin unity 3d games and android apps,60,Medium,4.5,Four+,44,Low
1791,Lifestyle,Online Lessons,"do online lessons,courses and classes",5,Very Low,5,Five,15,Low
1792,Writing & Translation,Transcripts,"transcribe audio and video in english, french and spanish in 24 hours",15,Low,5,Five,6,Low
1793,Music & Audio,Mixing & Mastering,mix and master your song with analog gear,100,Medium,5,Five,1k+,Huge
1794,Writing & Translation,Book EditingNew,do a developmental edit on your middle grade or ya novel,45,Low,5,Five,8,Low
1795,Programming & Tech,E-Commerce Development,do shopify customization any kind of shopify theme,50,Low,5,Five,355,Huge
1796,Programming & Tech,Convert Files,"do kindle ebook formatting, amazon kdp paperback,createspace",10,Very Low,4.9,Four+,738,Huge
1797,Business,Legal Consulting,prepare and file for your trademark in the UK and eu,95,Medium,5,Five,1,Low
1798,Writing & Translation,LinkedIn Profiles,"create, update or optimize linkedin profile effectivelly",20,Low,5,Five,1,Low
1799,Writing & Translation,UX Writing,help you with your digital microcopy,25,Low,5,Five,2,Low
1800,Music & Audio,Vocal Tuning,tune and repair your vocals to natural perfection,20,Low,5,Five,2,Low
1801,Lifestyle,Fitness Lessons,teach private amateur ballet class,10,Very Low,nul,No Star,nul,No Sale
1802,Writing & Translation,Transcripts,accurately transcribe your audio or video in 5 dollars,5,Very Low,5,Five,30,Low
1803,Business,Lead Generation,do email list building  using linkedin sales navigator,10,Very Low,4.9,Four+,11,Low
1804,Music & Audio,Music TranscriptionNew,make the most accurate tabs for every instrument,5,Very Low,5,Five,38,Low
1805,Video & Animation,Subtitles & Captions,subtitle your video and translate to spanish or vice versa,10,Very Low,4.9,Four+,3,Low
1806,Lifestyle,Gaming,"coach you in valorant, I am immortal",20,Low,4.9,Four+,37,Low
1807,Digital Marketing,Influencer Marketing,create your promotion on my verified instagram page,75,Medium,5,Five,42,Low
1808,Business,Financial ConsultingNew,build a custom real estate investment financial model,150,Medium,5,Five,11,Low
1809,Music & Audio,Podcast EditingNew,do professional audio dialogue editing for audio podcasts,35,Low,5,Five,9,Low
1810,Lifestyle,Arts & Crafts,do a canvas wall art design original concept in 24 hours,20,Low,4.3,Four+,14,Low
1811,Music & Audio,Dialogue Editing,"clean up your noisy, clipped, distorted audio",25,Low,5,Five,53,Moderate
1812,Business,Career Counseling,"modify cv, cover letter, search, apply jobs, in 24 hours",30,Low,5,Five,10,Low
1813,Video & Animation,Screencasting Videos,record screen of any type of tutorial for you with voiceover,5,Very Low,5,Five,14,Low
1814,Lifestyle,Arts & Crafts,paint your warhammer and dnd miniatures,5,Very Low,5,Five,2,Low
1815,Lifestyle,Online Lessons,"help in math, calculus, statistics and algebra",10,Very Low,5,Five,21,Low
1816,Video & Animation,Article to VideoNew,make a video from your blog or article for youtube,5,Very Low,5,Five,73,Moderate
1817,Writing & Translation,Sales Copy,"write an advertorial copy for taboola, outbrain native ads",125,Medium,5,Five,4,Low
1818,Writing & Translation,Cover Letters,write an exceptionally persuasive cover letter,100,Medium,5,Five,2,Low
1819,Lifestyle,Online Lessons,build your confidence to speak publicly,30,Low,nul,No Star,nul,No Sale
1820,Writing & Translation,Social Media Copy,write high converting copy for your facebook ad,35,Low,5,Five,8,Low
1821,Digital Marketing,Mobile Marketing & Advertising,write android and ios game or app description with aso,15,Low,5,Five,678,Huge
1822,Video & Animation,Short Video Ads,create a video ad using motion graphics and stock footage,385,High,5,Five,19,Low
1823,Video & Animation,Product Photography,make professional photos or video of me and my child for your product,30,Low,5,Five,37,Low
1824,Writing & Translation,Business Names & Slogans,create powerful brand copy and names in chinese,30,Low,5,Five,3,Low
1825,Music & Audio,Music TranscriptionNew,make best guitar or bass tabs for any song,10,Very Low,5,Five,385,Huge
1826,Writing & Translation,Technical Writing,write technology related research articles technical reports,15,Low,4.9,Four+,117,Moderate
1827,Programming & Tech,Development for StreamersNew,help you set up a livestream for your church,5,Very Low,5,Five,1,Low
1828,Writing & Translation,UX Writing,provide website and SEO copywriting,45,Low,4.9,Four+,6,Low
1829,Writing & Translation,Beta Reading,be your favorite beta reader,50,Low,5,Five,7,Low
1830,Business,Business Plans,write business plan marketing plan executive summary,300,High,4.9,Four+,203,Huge
1831,Video & Animation,Spokespersons Videos,produce a professional female spokesperson video,495,High,5,Five,277,Huge
1832,Programming & Tech,Web Programming,create a website for your company,50,Low,nul,No Star,nul,No Sale
1833,Video & Animation,Live Action Explainers,produce a professional explainer video with voiceover,185,Medium,5,Five,130,Moderate
1834,Music & Audio,Voice Over,record a professional deep baritone black male voice over,50,Low,5,Five,23,Low
1835,Writing & Translation,Transcripts,transcribe danish audio files,10,Very Low,5,Five,4,Low
1836,Video & Animation,Local PhotographyBeta,promote your business with photography,220,High,nul,No Star,nul,No Sale
1837,Programming & Tech,WordPress,create an ecommerce website for you,160,Medium,5,Five,13,Low
1838,Lifestyle,Online Lessons,work on civil engineering problems projects and structure design,10,Very Low,4.6,Four+,9,Low
