"","category","amount","gender","city","state","fraud","age"
"154102","gas_transport",39.31,"M","Utica","KS","0",58
"154240","gas_transport",88.66,"F","Michigan","ND","0",48
"154264","shopping_pos",17.71,"F","Steuben","ME","0",61
"154268","shopping_net",36.88,"M","Mesa","ID","0",55
"154269","grocery_net",83.19,"F","Sebring","FL","0",34
"154291","gas_transport",53.97,"F","Central","IN","0",65
"154341","shopping_pos",7.5,"F","Meridian","ID","0",49
"154401","kids_pets",47.87,"M","Schaefferstown","PA","0",38
"154507","health_fitness",45.13,"M","Howells","NE","0",92
"154662","travel",2.07,"M","Comfrey","MN","0",76
"154727","home",98.09,"M","Union","WV","0",79
"154731","kids_pets",90.17,"M","Thida","AR","0",20
"154770","personal_care",41.08,"M","Oriskany Falls","NY","0",71
"155216","shopping_net",6.52,"F","Oolitic","IN","0",29
"155222","misc_pos",1.1,"M","Port Charlotte","FL","0",36
"155229","kids_pets",80.57,"M","Oakland","TN","0",27
"155390","misc_pos",5.81,"F","Wetmore","MI","0",48
"155535","entertainment",3,"M","Glade Spring","VA","0",33
"155850","shopping_pos",1319.97,"F","Hooper","NE","1",47
"155911","shopping_net",219.34,"F","May","TX","0",55
"156037","shopping_net",38.43,"M","Saint Francis","KY","0",53
"156087","gas_transport",62.65,"M","Monetta","SC","0",54
"156134","grocery_pos",67.41,"M","Aledo","TX","0",36
"156187","gas_transport",76.52,"M","Huntsville","AL","0",47
"156337","grocery_pos",62.32,"M","Saint James City","FL","0",44
"156402","shopping_pos",5,"M","Lubbock","TX","0",68
"156430","shopping_net",6.79,"M","Falmouth","MI","0",65
"156495","misc_pos",59.68,"F","Glen Rock","PA","0",68
"156506","gas_transport",85.88,"F","Phil Campbell","AL","0",68
"156532","misc_net",30.17,"F","Naples","FL","0",86
"156874","personal_care",100.31,"F","Glen Rock","PA","0",68
"156943","home",27.88,"M","Burbank","OK","0",79
"157015","health_fitness",72.62,"M","Olmsted","IL","0",38
"157250","home",89.65,"M","Bolivar","PA","0",26
"157254","health_fitness",5.45,"F","Elberta","MI","0",25
"157266","health_fitness",19.62,"M","Cuyahoga Falls","OH","0",54
"157401","food_dining",44.02,"F","Clarks Mills","PA","0",23
"157782","home",29.43,"F","Bailey","NC","0",58
"157830","entertainment",38.42,"M","Norman","AR","0",54
"158278","gas_transport",58.86,"F","Elberta","MI","0",25
"158405","gas_transport",63.4,"M","Murrayville","IL","0",17
"158523","misc_net",31.09,"F","Tupper Lake","NY","0",44
"158683","gas_transport",63.44,"M","Bowdoin","ME","0",23
"158754","shopping_pos",8.31,"F","Wichita","KS","0",90
"158865","entertainment",51.11,"F","Blackville","SC","0",54
"159096","grocery_pos",128.74,"F","Westerville","NE","0",85
"159203","shopping_net",3.89,"M","Summerfield","NC","0",91
"159208","grocery_pos",99.15,"M","Belmond","IA","0",56
"159271","home",65.7,"M","Columbia","SC","0",52
"159299","home",38.48,"M","Grant","AL","0",48
"159356","shopping_pos",8.54,"F","Cottekill","NY","0",30
"159382","kids_pets",59.27,"F","Stanchfield","MN","0",25
"159386","personal_care",108.18,"M","Oriskany Falls","NY","0",71
"159412","home",43.92,"F","Oakford","IL","0",53
"159413","food_dining",5.71,"M","Comfrey","MN","0",76
"159424","shopping_pos",2.11,"F","Whaleyville","MD","0",35
"159445","shopping_net",33.94,"M","San Antonio","TX","0",25
"159625","home",74.69,"F","Early","IA","0",71
"159657","entertainment",23.38,"F","Cottekill","NY","0",30
"159700","shopping_net",7.18,"M","Lawrence","MA","0",35
"159833","personal_care",2.56,"M","Newberg","OR","0",43
"159868","shopping_pos",2.48,"M","Haw River","NC","0",36
"159912","shopping_pos",834.69,"F","Tomahawk","WI","0",23
"159913","misc_net",5.61,"F","Topeka","KS","0",16
"159917","health_fitness",116.06,"F","Stirling","NJ","0",51
"159938","kids_pets",6.82,"M","Ruth","NV","0",74
"160174","entertainment",96.63,"F","Superior","AZ","0",33
"160195","food_dining",58.41,"M","Clune","PA","0",42
"160342","misc_net",413.74,"M","Leo","IN","0",26
"160555","shopping_pos",7.96,"F","Ogdensburg","NJ","0",26
"160626","shopping_pos",4.43,"F","Spencer","SD","0",48
"160792","food_dining",9.79,"M","Johns Island","SC","0",23
"160890","travel",7.97,"M","Fairview","NJ","0",53
"161058","kids_pets",46.48,"M","Cazenovia","WI","0",36
"161231","gas_transport",76.32,"F","Early","IA","0",71
"161379","shopping_pos",4.28,"M","Greenwich","NJ","0",55
"161584","grocery_net",34.8,"M","Sachse","TX","0",35
"161677","misc_net",7.36,"M","Curlew","IA","0",81
"162031","misc_pos",5.11,"M","Belmond","IA","0",56
"162191","shopping_pos",4.99,"F","Tiptonville","TN","0",56
"162410","grocery_pos",136.96,"M","Manley","NE","0",53
"162522","gas_transport",52.14,"M","Union","WV","0",79
"162691","home",137.65,"F","Glen Rock","PA","0",68
"163175","food_dining",6.13,"F","Centerview","MO","0",31
"163261","shopping_pos",2.76,"F","Roma","TX","0",30
"163283","entertainment",92.12,"F","Walnut Ridge","AR","0",43
"163286","kids_pets",275.69,"M","New Holstein","WI","0",42
"163376","home",76.66,"F","Meridian","TX","0",50
"163395","kids_pets",14.08,"F","Wilmington","NC","0",37
"163407","entertainment",54.69,"M","Mc Nabb","IL","0",64
"163480","food_dining",60.35,"M","Shelter Island","NY","0",36
"163561","kids_pets",19.96,"F","East Canaan","CT","0",33
"163797","health_fitness",50.18,"M","Clarinda","IA","0",30
"163869","food_dining",16.8,"F","Holstein","NE","0",70
"163881","shopping_pos",4.9,"F","East Canaan","CT","0",33
"163930","kids_pets",97.9,"M","Cochranton","PA","0",47
"164120","personal_care",12.91,"F","Naples","FL","0",86
"164189","personal_care",8.67,"F","Gardiner","OR","0",64
"164210","food_dining",60.96,"M","Oaks","PA","0",33
"164219","kids_pets",40.59,"F","Sterling City","TX","0",58
"164264","kids_pets",23.48,"M","Pewee Valley","KY","0",90
"164290","home",56.95,"F","Sheffield","MA","0",47
"164340","food_dining",36.2,"M","Laredo","TX","0",49
"164351","shopping_pos",7.26,"M","Methuen","MA","0",40
"164466","health_fitness",57.39,"F","Tulsa","OK","0",52
"164468","travel",436.45,"M","Grand Junction","TN","0",46
"164492","shopping_net",7.23,"F","Ranier","MN","0",20
"164605","food_dining",71.76,"M","Lakeview","MI","0",44
"164619","food_dining",55.79,"F","Washington Court House","OH","0",81
"164765","health_fitness",132.48,"M","East Troy","WI","0",29
"164787","home",123.94,"F","Grandview","TX","0",28
"164826","grocery_pos",54.26,"F","Stanchfield","MN","0",25
"165021","health_fitness",8.97,"M","Saint Petersburg","FL","0",31
"165038","entertainment",66.41,"F","Brooklyn","NY","0",21
"165079","food_dining",9.67,"F","Viola","AR","0",34
"165214","grocery_net",42.67,"F","De Soto","KS","0",42
"165228","grocery_pos",54.93,"M","Murfreesboro","TN","0",42
"165367","gas_transport",60.88,"F","Tiptonville","TN","0",56
"165447","grocery_pos",77.42,"F","Basye","VA","0",48
"165524","misc_net",2.17,"F","Stirling","NJ","0",51
"165592","grocery_pos",99.36,"M","Nazareth","TX","0",40
"165816","shopping_pos",125.78,"M","Oak Hill","NY","0",49
"165860","shopping_pos",6.45,"M","Armonk","NY","0",56
"166018","grocery_pos",91.01,"M","Lonetree","WY","0",39
"166090","grocery_pos",100.95,"F","Rocky Mount","MO","0",32
"166098","shopping_pos",7.93,"M","Monetta","SC","0",54
"166105","shopping_net",3.35,"M","Waukesha","WI","0",74
"166116","entertainment",20.59,"M","Huntsville","AL","0",61
"166119","grocery_net",71.97,"M","Dieterich","IL","0",58
"166465","grocery_pos",218.64,"F","Lakeland","FL","0",41
"166722","kids_pets",2.11,"F","Lomax","IL","0",48
"166831","personal_care",116.13,"F","Shenandoah Junction","WV","0",54
"167590","health_fitness",83.71,"F","Roma","TX","0",30
"167992","kids_pets",2.97,"F","Coyle","OK","0",35
"168132","home",91.12,"F","Grandview","TX","0",28
"168181","kids_pets",71.31,"F","Brandon","VT","0",45
"168209","travel",37.12,"M","Keller","TX","0",33
"168274","kids_pets",33.55,"M","Arlington","VA","0",36
"168306","food_dining",9.19,"M","Greenwich","NJ","0",55
"168329","kids_pets",25.26,"M","Cadiz","KY","0",59
"168390","health_fitness",88.45,"F","Stirling","NJ","0",51
"168562","food_dining",66.47,"F","Daly City","CA","0",29
"168639","kids_pets",90.77,"M","Payson","IL","0",51
"168761","food_dining",4.03,"F","Pembroke Township","IL","0",16
"168855","shopping_pos",2.67,"F","Drakes Branch","VA","0",35
"168865","kids_pets",170.38,"M","Moriarty","NM","0",32
"168919","entertainment",65.41,"F","Clarks Mills","PA","0",23
"168933","shopping_net",235.71,"F","Bauxite","AR","0",45
"168945","entertainment",72.48,"F","Heart Butte","MT","0",48
"169062","grocery_pos",118.04,"F","New Memphis","IL","0",68
"169237","grocery_pos",77.04,"F","Shields","ND","0",31
"169242","misc_net",12.66,"F","Coleman","TX","0",58
"169430","grocery_pos",186.89,"M","Sontag","MS","0",62
"169532","misc_pos",2.26,"F","Westhampton Beach","NY","0",42
"169966","home",133.05,"F","Ford","VA","0",44
"169968","shopping_net",17.21,"F","Clarksville","TN","0",46
"170023","home",84.14,"M","Mc Intosh","SD","0",39
"170225","health_fitness",87.43,"M","Sacramento","CA","0",41
"170617","food_dining",48.83,"F","Greendale","WI","0",39
"170692","misc_pos",3.71,"F","Cowlesville","NY","0",37
"171389","shopping_net",4.5,"M","Purmela","TX","0",77
"171446","grocery_pos",107.31,"F","Roosevelt","OK","0",50
"171619","shopping_net",8.35,"F","Rhame","ND","0",65
"171955","food_dining",50.73,"M","Schaefferstown","PA","0",38
"172087","shopping_pos",114.65,"F","Pembroke Township","IL","0",16
"172163","food_dining",55.55,"F","Houston","TX","0",37
"172197","misc_pos",4.86,"F","Ogdensburg","NJ","0",26
"172367","shopping_net",4.6,"F","Lanark Village","FL","0",30
"172401","shopping_pos",135.11,"F","Hedrick","IA","0",21
"172419","kids_pets",6.05,"F","Wilton","ND","0",72
"172530","home",87.64,"M","Margaretville","NY","0",42
"172560","food_dining",56.36,"M","Kissee Mills","MO","0",40
"172572","shopping_pos",3.03,"F","Center Point","WV","0",49
"172669","entertainment",6.34,"F","Gardiner","OR","0",64
"172671","personal_care",23.76,"M","Knowlesville","NY","0",56
"172696","shopping_net",1.27,"F","Heart Butte","MT","0",48
"172756","shopping_pos",1.37,"M","Reno","NV","0",23
"173005","personal_care",4.26,"F","Bonita Springs","FL","0",29
"173068","gas_transport",49.01,"M","Mc Nabb","IL","0",64
"173096","shopping_pos",127.71,"M","Schaefferstown","PA","0",38
"173128","grocery_pos",48.91,"M","Monmouth Beach","NJ","0",42
"173147","misc_pos",31.56,"M","Clune","PA","0",42
"173166","misc_pos",285.65,"F","Grimesland","NC","0",27
"173210","grocery_pos",98.52,"M","Cazenovia","WI","0",36
"173301","grocery_pos",105.64,"F","Carlotta","CA","0",69
"173324","grocery_net",105.94,"F","Port Saint Lucie","FL","0",86
"173464","gas_transport",41.55,"M","Grant","AL","0",48
"173660","misc_pos",24.11,"F","Florence","MS","0",36
"174077","personal_care",51.28,"F","Clay Center","OH","0",55
"174232","shopping_pos",1.67,"F","Falls Church","VA","0",37
"174262","health_fitness",82.59,"M","Denham Springs","LA","0",26
"174297","health_fitness",22.2,"F","Bradley","SC","0",36
"174309","food_dining",29.37,"M","Arlington","VA","0",36
"174369","kids_pets",123.2,"M","Murrayville","IL","0",17
"174481","health_fitness",45.3,"M","Hancock","MD","0",36
"174523","home",37.85,"M","Cord","AR","0",82
"174687","food_dining",62.64,"M","Bristow","IN","0",38
"174785","shopping_pos",5.96,"F","Jordanville","NY","0",35
"174805","shopping_pos",8.95,"F","Cherokee Village","AR","0",43
"174877","entertainment",65.96,"M","Irwinton","GA","0",45
"174956","shopping_net",112.1,"F","Smiths Grove","KY","0",21
"174997","shopping_pos",3.84,"M","Hancock","MD","0",36
"175138","food_dining",5.15,"M","Lake Jackson","TX","0",21
"175428","gas_transport",91.8,"M","Claremont","CA","0",64
"175587","misc_net",7.72,"M","Union","WV","0",79
"175594","gas_transport",84.85,"F","West Henrietta","NY","0",52
"175670","entertainment",3.38,"M","Milner","GA","0",51
"175728","gas_transport",85.19,"F","New Waverly","TX","0",72
"175754","misc_pos",33.27,"M","Zaleski","OH","0",42
"175755","grocery_net",116.35,"M","Fairview","NJ","0",53
"175760","grocery_pos",115.43,"F","Mifflin","PA","0",66
"175867","misc_net",37.64,"F","Gibsonville","NC","0",86
"175948","food_dining",84.02,"F","Pomona","NY","0",58
"176000","misc_net",1311.94,"M","Deadwood","SD","0",50
"176505","personal_care",15.43,"F","Stayton","OR","0",52
"176521","food_dining",16.59,"F","Clayton","OK","0",48
"176593","kids_pets",48.71,"F","Mifflin","PA","0",66
"176695","entertainment",357.38,"F","Napa","CA","0",35
"176969","shopping_net",92.81,"F","Bauxite","AR","0",45
"177129","personal_care",18.36,"F","Marathon","TX","0",30
"177208","personal_care",12,"F","Philadelphia","PA","0",35
"177211","home",3.16,"F","Heislerville","NJ","0",80
"177319","travel",2.92,"M","Birmingham","AL","0",40
"177764","shopping_net",56.95,"F","Early","IA","0",71
"177967","shopping_pos",2.26,"F","Hawley","MN","0",71
"178025","gas_transport",62.86,"M","Grantham","NH","0",72
"178059","misc_net",36.54,"F","Shenandoah Junction","WV","0",54
"178159","grocery_net",99.36,"F","Sutherland","NE","0",38
"178191","misc_net",2.42,"M","Great Mills","MD","0",47
"178244","misc_net",359.96,"F","Roma","TX","0",30
"178321","gas_transport",55.23,"M","Utica","KS","0",58
"178636","entertainment",95.43,"M","Huntsville","AL","0",61
"178851","grocery_net",18.45,"M","Fulton","OH","0",15
"178890","grocery_net",49.35,"M","Romulus","MI","0",49
"178910","grocery_pos",77.78,"F","Mansfield","OH","0",52
"178969","food_dining",98.88,"M","Newton","NH","0",68
"179075","home",108.71,"F","Burbank","WA","0",39
"179294","shopping_pos",29.51,"F","Creedmoor","NC","0",33
"179360","home",44.47,"F","Basye","VA","0",48
"179542","health_fitness",59.2,"M","Grenada","CA","0",75
"179611","home",9.93,"F","Rule","TX","0",66
"179839","kids_pets",111.32,"F","Moundsville","WV","0",43
"179871","home",25.92,"F","Lakeland","FL","0",41
"179984","personal_care",12.55,"F","Grandview","TX","0",28
"180133","personal_care",28.07,"F","Gadsden","AL","0",50
"180315","shopping_net",10.39,"F","Indianapolis","IN","0",45
"180356","kids_pets",82.3,"M","Afton","MN","0",85
"180423","shopping_pos",42.59,"F","Goodrich","MI","0",35
"180551","food_dining",87.37,"M","Hancock","MD","0",36
"180567","food_dining",68.6,"M","Zaleski","OH","0",42
"180649","shopping_pos",3.41,"F","Spencer","SD","0",48
"180757","food_dining",41.05,"F","Glen Rock","PA","0",68
"180767","home",49.2,"F","Jordanville","NY","0",35
"180899","kids_pets",43.27,"M","Grand Junction","TN","0",46
"180985","food_dining",12.66,"M","Hovland","MN","0",19
"181097","gas_transport",52.96,"M","Cuyahoga Falls","OH","0",54
"181319","shopping_net",93.58,"M","Clune","PA","0",42
"181474","shopping_pos",2.74,"F","Ridgeland","MS","0",54
"181556","food_dining",42.33,"F","Washington Court House","OH","0",81
"181650","misc_net",5.89,"M","Lima","OH","0",28
"182035","shopping_pos",109.59,"M","New Boston","IL","0",27
"182060","misc_net",34.17,"M","Birmingham","AL","0",40
"182113","misc_net",5.59,"M","Parsonsfield","ME","0",64
"182138","gas_transport",71.75,"M","Columbia","SC","0",52
"182149","gas_transport",69.46,"F","Mulberry Grove","IL","0",46
"182187","grocery_net",36.5,"F","North Wilkesboro","NC","0",36
"182243","shopping_pos",9.35,"F","Dubre","KY","0",88
"182244","misc_net",1.61,"M","Lima","OH","0",28
"182246","grocery_pos",147.86,"M","Grenada","CA","0",75
"182267","misc_pos",118.09,"F","Manistique","MI","0",41
"182275","grocery_pos",200.01,"F","Diamond","OH","0",37
"182280","gas_transport",70.09,"M","Mooresville","NC","0",67
"182323","grocery_pos",68.84,"M","Hancock","MD","0",36
"182367","misc_pos",44.87,"M","Elk Rapids","MI","0",34
"182683","misc_pos",106.79,"F","Cowlesville","NY","0",37
"183117","kids_pets",36.13,"M","San Antonio","TX","0",25
"183141","shopping_net",16.31,"F","Philadelphia","PA","0",35
"183253","misc_net",166,"M","Thida","AR","0",20
"183358","home",80.02,"M","Tower Hill","IL","0",40
"183448","travel",2.76,"M","Shrewsbury","MA","0",45
"183669","home",11.24,"F","Bauxite","AR","0",45
"183756","shopping_pos",5.68,"M","Quanah","TX","0",22
"183856","health_fitness",199.22,"F","Westhampton Beach","NY","0",42
"184130","health_fitness",79.42,"M","Humble","TX","0",30
"184265","personal_care",56.76,"M","Livonia","MI","0",55
"184637","misc_net",29.38,"M","Tekoa","WA","0",21
"184802","home",131.6,"M","Springfield","VA","0",70
"184963","shopping_pos",6.41,"F","Paauilo","HI","0",29
"185007","kids_pets",49.32,"M","San Antonio","TX","0",45
"185303","entertainment",163.5,"F","Albany","NY","0",81
"185413","grocery_pos",112,"F","Marietta","SC","0",86
"185598","gas_transport",50.99,"F","Ratcliff","TX","0",71
"185624","grocery_net",38.56,"F","Armagh","PA","0",48
"185634","shopping_net",2.66,"M","Warren","MI","0",64
"185674","gas_transport",75.55,"M","Dadeville","AL","0",43
"185686","misc_pos",88.65,"M","Washington","DC","0",50
"185712","entertainment",67.56,"F","West Henrietta","NY","0",52
"186084","misc_net",8.64,"M","Sardis","AL","0",88
"186130","misc_net",14.1,"F","Scotts Mills","OR","0",83
"186164","gas_transport",33.63,"F","Clay Center","OH","0",55
"186452","gas_transport",74.04,"F","Plymouth","CT","0",47
"186462","grocery_pos",115.31,"F","Catawba","VA","0",80
"186621","personal_care",17.06,"F","Washington Court House","OH","0",81
"186981","health_fitness",26.96,"F","Winslow","AR","0",55
"186992","shopping_pos",3.02,"F","San Jose","CA","0",23
"187074","travel",9,"M","Mesa","ID","0",55
"187334","kids_pets",2.11,"M","Afton","MI","0",62
"187589","shopping_net",41.42,"F","Saint Amant","LA","0",43
"187613","home",126.28,"F","Thomas","WV","0",39
"187668","personal_care",8.57,"M","Murrayville","IL","0",17
"187723","health_fitness",74.26,"M","Oaks","PA","0",33
"188013","entertainment",15.49,"F","Washington","DC","0",34
"188105","shopping_net",1.47,"F","Valdosta","GA","0",33
"188176","shopping_net",1.44,"F","Conway","WA","0",36
"188400","home",156.98,"M","Naples","FL","0",41
"188507","food_dining",2.94,"M","Bolton","NC","0",75
"188551","home",131.27,"M","Johns Island","SC","0",23
"188593","health_fitness",41.89,"M","Sardis","AL","0",88
"188666","food_dining",1.63,"M","Highland","IN","0",38
"188970","grocery_net",50.44,"M","West Eaton","NY","0",57
"188973","misc_pos",6.89,"F","Mendon","UT","0",57
"189123","grocery_pos",132.78,"M","Timberville","VA","0",58
"189137","shopping_pos",6.52,"F","May","TX","0",55
"189184","grocery_pos",140.49,"M","West Bethel","ME","0",69
"189358","misc_pos",1.23,"F","Harwood","MD","0",87
"189454","food_dining",17.95,"F","Hopkins","SC","0",71
"189883","shopping_net",3.43,"M","Bowdoin","ME","0",23
"189938","food_dining",77.53,"F","Meridian","TX","0",50
"190004","health_fitness",5.58,"F","Rocky Mount","MO","0",32
"190021","home",80.14,"M","New Boston","IL","0",27
"190179","health_fitness",38.96,"F","Newhall","CA","0",49
"190306","misc_net",8.85,"M","Woodville","AL","0",41
"190380","home",9.32,"M","Afton","MN","0",85
"190465","health_fitness",29.76,"M","Topeka","KS","0",45
"190542","kids_pets",48.71,"M","Beaverdam","OH","0",42
"190587","misc_pos",5.58,"M","Smackover","AR","0",34
"190708","shopping_pos",842.21,"M","Rock Tavern","NY","0",83
"190721","shopping_pos",7.98,"F","Bailey","NC","0",58
"190728","grocery_pos",50.75,"F","Mulberry Grove","IL","0",46
"190757","shopping_net",3.86,"F","Fulton","SD","0",65
"190811","gas_transport",62.56,"M","Falmouth","MI","0",65
"190881","entertainment",2.09,"F","Paradise Valley","AZ","0",85
"190947","gas_transport",58.62,"M","Prairie Creek","IN","0",53
"191007","grocery_pos",90.8,"F","Whigham","GA","0",70
"191129","shopping_pos",41.81,"F","Cromona","KY","0",60
"191135","gas_transport",79.65,"M","Winfield","WV","0",40
"191401","grocery_pos",170.85,"F","Rock Springs","WY","0",36
"191479","kids_pets",27.2,"F","East Canaan","CT","0",33
"191556","personal_care",214.12,"F","Galatia","IL","0",49
"191677","entertainment",14.51,"M","Romulus","MI","0",49
"191710","home",19.33,"F","Fort Myers","FL","0",35
"191818","home",14.57,"F","Florence","MS","0",36
"191826","kids_pets",49.07,"M","Oak Hill","NY","0",49
"192020","home",9.34,"F","Powell Butte","OR","0",67
"192424","food_dining",144.07,"F","Tomales","CA","0",66
"192565","misc_net",892.22,"M","Newberg","OR","1",43
"192626","kids_pets",247.51,"F","Coleharbor","ND","0",90
"192711","grocery_pos",116.28,"M","Kent","OR","0",78
"192716","grocery_pos",99.9,"M","Lorenzo","TX","0",38
"192999","misc_net",9.15,"F","Baton Rouge","LA","0",43
"193231","grocery_pos",115.21,"F","Tiptonville","TN","0",56
"193368","grocery_pos",125.35,"M","Dieterich","IL","0",58
"193591","home",11.9,"M","Coffeeville","MS","0",36
"193597","shopping_net",36.88,"F","Burlington","WA","0",46
"193844","shopping_net",8.98,"F","Bellmore","NY","0",50
"193855","shopping_pos",8.6,"F","Rockwell","IA","0",38
"193928","personal_care",13.18,"M","Webster City","IA","0",57
"193952","misc_net",355.12,"M","San Antonio","TX","0",25
"194082","food_dining",25.16,"M","Tekoa","WA","0",21
"194245","health_fitness",68.02,"F","Alpharetta","GA","0",23
"194291","personal_care",84.68,"F","Ronceverte","WV","0",29
"194313","home",88.73,"M","Bristow","IN","0",38
"194319","kids_pets",50.5,"M","Pointe Aux Pins","MI","0",26
"194469","food_dining",25.24,"F","Dexter","KS","0",62
"194532","home",93.99,"M","Winfield","WV","0",40
"194664","misc_net",124.4,"F","Burrton","KS","0",23
"194669","food_dining",86.01,"F","Phoenix","AZ","0",39
"194784","kids_pets",47.1,"M","Helm","CA","0",47
"194809","home",36.1,"F","Sunflower","MS","0",34
"194870","entertainment",177.09,"M","Grant","AL","0",48
"194991","shopping_net",92.22,"M","Clune","PA","0",42
"195076","grocery_pos",106.56,"F","Dongola","IL","0",36
"195077","shopping_pos",4.91,"F","Mansfield","OH","0",52
"195117","grocery_pos",169.67,"M","High Rolls Mountain Park","NM","0",53
"195187","shopping_net",20.89,"M","Tamaroa","IL","0",59
"195196","grocery_pos",91.83,"F","Karnack","TX","0",89
"195244","shopping_pos",4.06,"F","West Henrietta","NY","0",52
"195297","misc_pos",4.72,"F","Sturgis","MS","0",60
"195361","gas_transport",53.39,"F","Bonfield","IL","0",30
"195504","grocery_net",49.56,"F","Napa","CA","0",35
"195682","misc_net",33.77,"F","Sturgis","MS","0",60
"195704","misc_net",5.14,"F","Indianapolis","IN","0",45
"195895","personal_care",67.01,"M","Collettsville","NC","0",32
"195923","health_fitness",16.62,"F","Coyle","OK","0",35
"196029","personal_care",17.78,"M","Arlington","VA","0",36
"196057","home",52.79,"F","Barneveld","NY","0",26
"196061","food_dining",20.36,"M","Elizabeth","NJ","0",40
"196123","food_dining",37.81,"F","Viola","AR","0",34
"196266","travel",6.12,"F","Grimesland","NC","0",27
"196371","kids_pets",52.71,"M","Lonetree","WY","0",39
"196397","kids_pets",55.64,"M","Dumont","CO","0",42
"196442","kids_pets",60.62,"F","Maysville","KY","0",49
"196572","personal_care",59.54,"F","Tomales","CA","0",66
"196586","food_dining",2.8,"F","Hahira","GA","0",23
"196635","home",77.31,"M","Summerfield","TX","0",28
"196720","kids_pets",47.07,"F","Miamisburg","OH","0",79
"196856","kids_pets",124.19,"F","Moundsville","WV","0",43
"196930","health_fitness",32.52,"F","Gaithersburg","MD","0",84
"197412","shopping_net",7.02,"F","New York City","NY","0",63
"197664","misc_net",8.17,"F","Bagley","WI","0",46
"197777","grocery_pos",82.58,"F","Port Saint Lucie","FL","0",86
"197926","misc_net",5.93,"M","Mounds","OK","0",38
"198023","gas_transport",104.82,"M","Indianapolis","IN","0",33
"198103","grocery_net",49.09,"F","Houston","TX","0",37
"198178","gas_transport",72.57,"F","Heislerville","NJ","0",80
"198240","gas_transport",54.29,"F","Browning","MO","0",66
"198279","misc_pos",8.34,"F","Ronceverte","WV","0",29
"198283","shopping_pos",1.8,"M","Milner","GA","0",51
"198314","gas_transport",64.92,"M","Wichita","KS","0",35
"198402","misc_pos",178.7,"M","Mount Hope","AL","0",65
"198484","misc_pos",201.81,"F","Gaithersburg","MD","0",84
"198490","grocery_net",48.42,"F","Brooklyn","NY","0",21
"198498","misc_net",33.81,"M","Oconto Falls","WI","0",45
"198585","home",19.98,"M","Smackover","AR","0",34
"198675","kids_pets",73.92,"F","Sun City","CA","0",48
"198713","food_dining",5.41,"M","Westport","KY","0",24
"198802","shopping_net",4.43,"M","Alton","IA","0",19
"198824","personal_care",5.77,"F","Armagh","PA","0",48
"198948","health_fitness",12.63,"M","San Antonio","TX","0",25
"199059","home",79.38,"F","Wilmington","NC","0",37
"199136","entertainment",62.02,"F","Philadelphia","PA","0",35
"199243","travel",5.61,"M","Mallie","KY","0",94
"199339","health_fitness",12.55,"F","New Memphis","IL","0",68
"199342","personal_care",12.66,"F","Kingsford Heights","IN","0",22
"199381","personal_care",72.57,"F","Barneveld","NY","0",26
"199384","shopping_net",105.79,"F","Wilmington","NC","0",37
"199480","kids_pets",19.86,"F","Bethel","OH","0",35
"199514","food_dining",80.9,"M","Churubusco","IN","0",34
"199618","health_fitness",40.83,"F","Montrose","NY","0",60
"199654","travel",5.71,"M","Lima","OH","0",28
"199716","health_fitness",58.62,"M","Conway","NH","0",21
"200059","home",6.71,"F","Burbank","WA","0",39
"200088","entertainment",165.3,"F","Greendale","WI","0",39
"200096","shopping_pos",8.78,"F","Achille","OK","0",27
"200156","kids_pets",31.03,"M","Ozawkie","KS","0",72
"200296","kids_pets",69.42,"M","Springfield","VA","0",70
"200405","food_dining",131.45,"F","Tyler","TX","0",36
"200421","kids_pets",46.99,"M","Utica","PA","0",31
"200431","health_fitness",39.13,"F","Colton","WA","0",77
"200462","kids_pets",19.42,"F","Gardiner","OR","0",64
"200967","food_dining",60.5,"F","Greenwood","IN","0",52
"201153","misc_net",4.38,"M","Tickfaw","LA","0",69
"201379","gas_transport",68.74,"M","Harborcreek","PA","0",74
"201785","shopping_pos",8.54,"M","Holloway","OH","0",74
"202198","travel",5.13,"M","Espanola","NM","0",48
"202239","entertainment",187.65,"F","Rule","TX","0",66
"202248","personal_care",151.41,"M","Norwalk","CA","0",47
"202386","entertainment",74.83,"M","Leetsdale","PA","0",34
"202637","entertainment",32.88,"M","Minnesota Lake","MN","0",57
"202719","home",8.92,"F","Shields","ND","0",31
"202832","home",74.26,"F","Florence","MS","0",36
"202998","kids_pets",66.07,"M","Quanah","TX","0",22
"203016","home",104.28,"F","Vero Beach","FL","0",34
"203134","travel",154.37,"M","Indian Wells","CA","0",65
"203144","health_fitness",45.57,"M","Vinton","CA","0",54
"203349","kids_pets",25.84,"M","Denham Springs","LA","0",26
"203360","home",32.06,"M","Powell","TN","0",51
"203389","misc_pos",4.64,"F","Arcadia","SC","0",31
"203400","entertainment",36.64,"F","Notrees","TX","0",51
"203533","home",191.64,"F","Tupper Lake","NY","0",44
"203725","shopping_pos",22.83,"M","West Harrison","NY","0",43
"203793","health_fitness",73.69,"M","Tekoa","WA","0",21
"203849","personal_care",68.01,"M","Kent","OR","0",78
"203851","food_dining",118.6,"M","Grand Bay","AL","0",72
"204021","kids_pets",137.04,"M","Minneapolis","MN","0",44
"204051","personal_care",61.47,"F","Allentown","PA","0",22
"204061","food_dining",170.01,"M","Cadiz","KY","0",59
"204139","food_dining",48.56,"M","Easton","KS","0",38
